document_year,filename,theme,keyword,excerpt
2025,2025_annual_mda_english.pdf,debt,total debt,"Section VIII — Financing and Capital Resources, “Financial Covenants” Fixed Rate to Variable Rate Debt Ratio Fixed Rate to Variable Rate Debt Ratio is defined as the percentage of Fixed Rate Debt out of total Debt compared with the percentage of Variable Rate Debt (excluding interest rate swap agree"
2025,2025_annual_mda_english.pdf,debt,mortgage,"Canada’s Shopping Centre 2025 YEAR-END REPORT MANAGEMENT’S DISCUSSION AND ANALYSIS December 31, 2025 Management’s Discussion and Analysis Section I — Introduction About this Management’s Discussion and Analysis 1 Key Operational, Development and Financial Information 1 Highlights for the Three Month"
2025,2025_annual_mda_english.pdf,debt,debenture,"• In November 2025, the Trust issued $250.0 million principal amount of Series AC unsecured debentures bearing interest at 3.599% per annum, maturing on June 12, 2029, and $250.0 million principal amount of Series AD unsecured debentures bearing interest at 4.318% per annum, maturing on June 12, 203"
2025,2025_annual_mda_english.pdf,dividend,distribution,"Canada’s Shopping Centre 2025 YEAR-END REPORT MANAGEMENT’S DISCUSSION AND ANALYSIS December 31, 2025 Management’s Discussion and Analysis Section I — Introduction About this Management’s Discussion and Analysis 1 Key Operational, Development and Financial Information 1 Highlights for the Three Month"
2025,2025_annual_mda_english.pdf,development,development,"Canada’s Shopping Centre 2025 YEAR-END REPORT MANAGEMENT’S DISCUSSION AND ANALYSIS December 31, 2025 Management’s Discussion and Analysis Section I — Introduction About this Management’s Discussion and Analysis 1 Key Operational, Development and Financial Information 1 Highlights for the Three Month"
2025,2025_annual_mda_english.pdf,development,construction,Construction of self- storage facilities is underway at Montreal (Notre Dame St.
2025,2025_annual_mda_english.pdf,development,pipeline,"More specifically, certain statements contained in this MD&A, including the Trust’s plans, expectations and intentions with respect to the collection of rent from tenants, the operation, maintenance and development of its properties and its expectations with respect to liquidity; the Trust’s future"
2026,2026_q1_interim_mda_english.pdf,occupancy,occupancy,"ft.) 35,543 35,585 35,425 In-place and committed occupancy rate 97.6 % 98.6 % 98.4 % Average lease term to maturity (in years) 4.3 4.3 4.3 In-place net retail rental rate excluding Anchors (per occupied sq."
2026,2026_q1_interim_mda_english.pdf,occupancy,occupied,"ft.) 35,543 35,585 35,425 In-place and committed occupancy rate 97.6 % 98.6 % 98.4 % Average lease term to maturity (in years) 4.3 4.3 4.3 In-place net retail rental rate excluding Anchors (per occupied sq."
2026,2026_q1_interim_mda_english.pdf,occupancy,in-place,"ft.) 35,543 35,585 35,425 In-place and committed occupancy rate 97.6 % 98.6 % 98.4 % Average lease term to maturity (in years) 4.3 4.3 4.3 In-place net retail rental rate excluding Anchors (per occupied sq."
2026,2026_q1_interim_mda_english.pdf,NOI,net operating income,"The following terms are non-GAAP measures used in this MD&A: Adjusted Debt, Adjusted Funds From Operations (“AFFO”), AFFO with adjustments, AFFO per Unit, AFFO with adjustments per Unit, Net Debt, Adjusted Debt to Adjusted EBITDA, Adjusted Earnings Before Interest, Taxes, Depreciation and Amortizati"
2026,2026_q1_interim_mda_english.pdf,NOI,noi,"Q1 Management’s Discussion and Analysis For the three months ended March 31, 2026 2026 First Quarter Report Management’s Discussion and Analysis Section I — Introduction About this Management’s Discussion and Analysis 1 Key Operational, Development and Financial Information 1 Highlights for the Thre"
2026,2026_q1_interim_mda_english.pdf,interest_rate,interest rate,"ft.) $24.54 $24.23 $23.89 Financial Information Investment properties(2) 10,964,730 10,852,939 10,617,787 Total unencumbered assets(3) 10,175,221 10,030,521 9,592,521 NAV per Unit – diluted(3) $36.19 $35.93 $35.51 Debt to Aggregate Assets(3)(4)(5) 44.4 % 44.4 % 44.1 % Adjusted Debt to Adjusted EBITD"
2026,2026_q1_interim_mda_english.pdf,debt,total debt,"Section VIII — Financing and Capital Resources, “Financial Covenants” Fixed Rate to Variable Rate Debt Ratio Fixed Rate to Variable Rate Debt Ratio is defined as the percentage of Fixed Rate Debt out of total Debt compared with the percentage of Variable Rate Debt (excluding interest rate swap agree"
2026,2026_q1_interim_mda_english.pdf,debt,mortgage,"Q1 Management’s Discussion and Analysis For the three months ended March 31, 2026 2026 First Quarter Report Management’s Discussion and Analysis Section I — Introduction About this Management’s Discussion and Analysis 1 Key Operational, Development and Financial Information 1 Highlights for the Thre"
2026,2026_q1_interim_mda_english.pdf,debt,debenture,"Section VIII — Financing and Capital Resources, “Financial Covenants” Adjusted Earnings Before Interest, Taxes, Depreciation and Amortization Expense (“Adjusted EBITDA”) Adjusted EBITDA is defined as the Trust’s Total Proportionate Share of net income and comprehensive income adjusted by income taxe"
2026,2026_q1_interim_mda_english.pdf,dividend,distribution,"Q1 Management’s Discussion and Analysis For the three months ended March 31, 2026 2026 First Quarter Report Management’s Discussion and Analysis Section I — Introduction About this Management’s Discussion and Analysis 1 Key Operational, Development and Financial Information 1 Highlights for the Thre"
2026,2026_q1_interim_mda_english.pdf,development,development,"Q1 Management’s Discussion and Analysis For the three months ended March 31, 2026 2026 First Quarter Report Management’s Discussion and Analysis Section I — Introduction About this Management’s Discussion and Analysis 1 Key Operational, Development and Financial Information 1 Highlights for the Thre"
2026,2026_q1_interim_mda_english.pdf,development,construction,"Development • Construction of the 200,000 square foot Canadian Tire flagship store on Laird Drive in Toronto continues on schedule, with possession expected in Q3 2026."
2026,2026_q1_interim_mda_english.pdf,development,pipeline,"• Acquired an 18.8-acre land parcel in Kingston, Ontario, for approximately $7.1 million, as part of its retail development pipeline."
