Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,company_id,source,pulled_at
2020-01-02 00:00:00-05:00,19.632894873085956,19.639161500689596,19.20677375793457,19.20677375793457,322200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-03 00:00:00-05:00,19.256913784026096,19.60157127757556,19.162916720417158,19.5263729095459,447000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-06 00:00:00-05:00,19.54516806443857,19.601566527985714,19.363439416289502,19.47623634338379,207600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-07 00:00:00-05:00,19.488765790138594,19.545164242657815,19.39476876768555,19.520097732543945,233000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-08 00:00:00-05:00,19.563966755462804,19.664230425049453,19.41357125108283,19.47623634338379,572200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-09 00:00:00-05:00,19.532638477807815,19.632902166237578,19.495039893456017,19.5451717376709,172300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-10 00:00:00-05:00,19.57649993695309,19.67676360615041,19.495036153944227,19.620365142822266,249500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-13 00:00:00-05:00,19.639172405590102,19.7833013347922,19.507575543316868,19.745702743530273,664500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-14 00:00:00-05:00,19.770768072625668,19.795834596958727,19.689304259018556,19.745702743530273,241200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-15 00:00:00-05:00,19.764487184323517,20.040211564991765,19.764487184323517,20.015146255493164,468200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-16 00:00:00-05:00,20.04647900277577,20.32220458984375,19.983813933637123,20.32220458984375,317800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-17 00:00:00-05:00,20.322213997515078,20.34728051486918,20.102887946853357,20.259550094604492,248500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-20 00:00:00-05:00,20.203150138881252,20.303413810443775,20.15301710786275,20.228214263916016,175700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-21 00:00:00-05:00,20.17181000801916,20.20940977048831,20.052747679244217,20.153011322021484,406300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-22 00:00:00-05:00,20.17807954936457,20.359808164403432,20.16554629414044,20.278343200683594,226000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-23 00:00:00-05:00,20.31594617293922,20.34728051486918,20.153018591086894,20.259550094604492,250100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-24 00:00:00-05:00,20.265808428474017,20.32220687752392,20.11541176751633,20.159276962280273,162200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-27 00:00:00-05:00,19.332100492110047,20.065279058431134,19.25063554294282,20.008880615234375,382200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-28 00:00:00-05:00,20.0464801673499,20.0966119865258,19.9336832753949,20.002614974975586,215200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-29 00:00:00-05:00,20.00888739378746,20.102885627784374,19.952488931484194,20.033952713012695,271700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-30 00:00:00-05:00,20.03017596940945,20.118332230392706,19.97980147785728,19.992395401000977,194800,0.154,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-01-31 00:00:00-05:00,20.0238767069847,20.080548153596858,19.753114596642977,19.778301239013672,372100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-03 00:00:00-05:00,19.828675915799465,20.036470821705034,19.772004468641356,19.954612731933594,393500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-04 00:00:00-05:00,19.992395324419796,20.011286209062977,19.828677927246716,19.86016273498535,191200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-05 00:00:00-05:00,19.834975584487267,19.967208178559645,19.803491976666983,19.879053115844727,197700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-06 00:00:00-05:00,19.929423383133194,20.067954110622736,19.87904890068856,20.03017234802246,224200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-07 00:00:00-05:00,20.049069818764877,20.244272053288718,20.004992282266848,20.15611457824707,252700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-10 00:00:00-05:00,20.14981731725898,20.250566307763457,20.12462946912151,20.14352035522461,306600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-11 00:00:00-05:00,20.118331909179688,20.21278272818154,20.04906653401788,20.118331909179688,245100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-12 00:00:00-05:00,20.118328193857927,20.18759355622826,19.960907789214353,20.18129539489746,522700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-13 00:00:00-05:00,20.250559830456044,20.250559830456044,19.860157917380114,19.916828155517578,479200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-14 00:00:00-05:00,19.89163212946762,19.979787126105332,19.696431265046222,19.79718017578125,326600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-18 00:00:00-05:00,19.822382272363434,19.95461607153716,19.80349258749768,19.834976196289062,392500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-19 00:00:00-05:00,19.8097805106591,19.879045863822395,19.715328520632376,19.727922439575195,439700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-20 00:00:00-05:00,19.727925449808865,19.759409050947703,19.61458256407321,19.66495704650879,260700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-21 00:00:00-05:00,19.658668350962643,19.95461961058993,19.65237138788303,19.822385787963867,1195600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-24 00:00:00-05:00,19.87275548861356,19.88534941172901,19.639773916090753,19.652366638183594,823700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-25 00:00:00-05:00,19.89793351152781,19.89793351152781,19.394187644805143,19.45085906982422,654400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-26 00:00:00-05:00,19.425673675341837,19.63346851331701,19.19898796081543,19.19898796081543,883400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-27 00:00:00-05:00,19.04963961562001,19.15722898927401,18.57498082722642,18.954708099365234,435900,0.154,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-02-28 00:00:00-05:00,18.606619119728336,18.739524171438646,18.018042191695642,18.214235305786133,1275700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-02 00:00:00-05:00,18.195246494435292,18.828124633372173,18.163603070336148,18.777494430541992,664400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-03 00:00:00-05:00,18.9483782819493,19.07495322864581,18.587637812828767,18.650924682617188,706900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-04 00:00:00-05:00,18.828121223860034,19.2015193547851,18.80913444856724,19.1951904296875,676100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-05 00:00:00-05:00,18.999006271362305,19.188869272674925,18.897745843046305,18.999006271362305,421700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-06 00:00:00-05:00,18.71421170627047,18.847116781009387,18.372458041592505,18.555992126464844,759400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-09 00:00:00-04:00,17.423136769839918,18.30916598244394,17.321876357377707,17.347190856933594,1201300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-10 00:00:00-04:00,17.87247612205507,17.885133972859194,17.005433862996934,17.340858459472656,1922500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-11 00:00:00-04:00,17.087719687866063,17.511748335812722,16.834568526506853,16.904184341430664,1135700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-12 00:00:00-04:00,16.771273333436305,16.815574617027025,15.056173885170152,15.239707946777344,1284100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-13 00:00:00-04:00,15.790315717038748,16.011822179477942,14.878970531861475,15.885247230529785,1531500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-16 00:00:00-04:00,11.64495904697481,13.52460813945211,11.64495904697481,12.727181434631348,1592000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-17 00:00:00-04:00,12.75249373135448,12.815781784057618,11.904436963642366,12.657562255859375,1377800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-18 00:00:00-04:00,10.062766080142897,12.404416587506338,9.227366805076503,10.347561836242676,1403800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-19 00:00:00-04:00,10.44249081107378,11.227259672627419,9.942517032746576,10.689312934875488,875700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-20 00:00:00-04:00,11.379147274993606,12.189231629624272,10.986763552197473,11.056379318237305,2206000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-23 00:00:00-04:00,11.012077145832352,11.012077145832352,9.493170161427718,9.543800354003906,1357800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-24 00:00:00-04:00,10.208325676410093,10.638683081026517,9.999476505037675,10.334901809692383,1333300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-25 00:00:00-04:00,10.467806047232525,11.91076757616456,10.442490339718937,11.676603317260742,1560000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-26 00:00:00-04:00,11.771538051529484,12.512005800772524,11.739893408413291,12.3411283493042,1035700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-27 00:00:00-04:00,11.96139690464501,12.31580833394254,10.898161409633136,11.948739051818848,1136400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-30 00:00:00-04:00,11.995955173949934,12.21928437912881,11.549297980638437,11.849196434020996,913200,0.154,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-03-31 00:00:00-04:00,12.015102445490292,12.71699396577639,11.772631448978867,12.021483421325684,1095100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-01 00:00:00-04:00,11.645012041170116,11.957672492394314,11.00692918959915,11.057975769042969,1271900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-02 00:00:00-04:00,11.006929596265158,11.536538333954317,11.006929596265158,11.485491752624512,958900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-03 00:00:00-04:00,11.504634435863206,11.53015711746987,11.109022526064896,11.459967613220215,855700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-06 00:00:00-04:00,11.983195982429763,12.480899810791016,11.696058222185645,12.480899810791016,1288800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-07 00:00:00-04:00,12.984991912245638,13.399745702484573,12.59576081428986,12.972229957580566,1394300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-08 00:00:00-04:00,13.125370965556353,14.1335423526182,12.978612124596353,14.088876724243164,1789400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-09 00:00:00-04:00,14.439816608248668,15.192754683206976,14.171821720840569,14.797143936157227,1754400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-13 00:00:00-04:00,14.746098082898243,14.969426152649248,13.757068731950312,14.037825584411621,1057000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-14 00:00:00-04:00,14.382385294785601,14.57380962665305,13.910203004359616,14.1718168258667,855600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-15 00:00:00-04:00,13.878308876876194,14.018686735424897,13.610313898158081,13.78897762298584,649500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-16 00:00:00-04:00,13.897442613041806,13.897442613041806,13.272120598490371,13.284882545471191,514000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-17 00:00:00-04:00,13.776209146757843,14.120773260844707,13.514595269584666,13.73154354095459,508300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-20 00:00:00-04:00,13.667739424003246,13.903830695678888,13.195558097698832,13.846403121948242,634900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-21 00:00:00-04:00,13.565644611087858,13.865543180409638,13.176413594931317,13.182794570922852,808000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-22 00:00:00-04:00,13.367836442622245,13.546498865031118,12.838227715966775,12.857369422912598,680700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-23 00:00:00-04:00,12.806323382246083,12.85736996466327,12.404331697841556,12.768038749694824,820100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-24 00:00:00-04:00,12.831846473772693,13.05517449712764,12.531946756044995,12.902034759521484,1815000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-27 00:00:00-04:00,13.023273605485906,13.72516513126343,12.857371883607822,13.699641227722168,610200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-28 00:00:00-04:00,13.878303196029007,14.037823922420145,13.489072234179732,13.916587829589844,448500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-29 00:00:00-04:00,14.195484515624644,14.34971326216733,14.002698888871569,14.137648582458496,709500,0.154,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-04-30 00:00:00-04:00,14.137652422386475,14.182635665800017,13.263688062232664,13.70067024230957,1072200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-01 00:00:00-04:00,13.411491104011036,13.482178529380144,12.775295695779269,13.00663948059082,557900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-04 00:00:00-04:00,12.563228414842488,12.974506307105903,12.306180498241071,12.897391319274902,879700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-05 00:00:00-04:00,13.00021147002349,13.24440792855622,12.691753946751746,12.762442588806152,456200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-06 00:00:00-04:00,12.852411226678935,13.045196904798539,12.505395535221908,12.653199195861816,504600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-07 00:00:00-04:00,12.7303116868741,12.987359640220872,12.569656562819702,12.69818115234375,540500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-08 00:00:00-04:00,12.788152000975295,13.135167775890144,12.775299292489171,12.968086242675781,1251700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-11 00:00:00-04:00,12.942374063154254,13.013062697190506,12.370442317082333,12.531097412109375,620000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-12 00:00:00-04:00,12.486113323544108,12.582506128795814,12.010574422028146,12.222639083862305,1105200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-13 00:00:00-04:00,12.229067557551634,12.229067557551634,11.695692635138363,11.88847827911377,931700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-14 00:00:00-04:00,11.631431263197491,12.428280533924987,11.39366113954188,12.338314056396484,872100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-15 00:00:00-04:00,12.164801941194394,12.4025707553661,12.016999572849725,12.106966018676758,632000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-19 00:00:00-04:00,12.498966672417199,12.730309171874612,12.428278039574083,12.640342712402344,587800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-20 00:00:00-04:00,12.74959203492162,12.794575278102764,12.370445805678475,12.653199195861816,548100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-21 00:00:00-04:00,12.794572506918248,13.192997707958767,12.627491050075527,12.839555740356445,530200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-22 00:00:00-04:00,12.884543786902675,13.10303491010805,12.486119662729326,12.717463493347168,289300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-25 00:00:00-04:00,12.852401546893296,13.192990629138157,12.723877041144151,13.135154724121094,345200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-26 00:00:00-04:00,13.405061119742378,13.46289705027577,13.160864696223372,13.347225189208984,572200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-27 00:00:00-04:00,13.514313240432747,13.610706096570446,12.980938129055701,13.50788688659668,703300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-28 00:00:00-04:00,13.652886905260527,13.652886905260527,13.257995047270292,13.452204704284668,603200,0.154,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-05-29 00:00:00-04:00,13.393943474856995,13.393943474856995,12.914894907920104,13.011999130249023,847300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-01 00:00:00-04:00,12.999056245249085,13.510473893344518,12.999056245249085,13.342159271240234,314600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-02 00:00:00-04:00,13.400417088551665,13.568730413307964,13.24504885305065,13.380995750427246,472700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-03 00:00:00-04:00,13.510474323565104,13.924786492862562,13.452211520414192,13.775893211364746,713500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-04 00:00:00-04:00,13.814731935881229,14.53330554277091,13.510471651082067,14.371464729309082,740400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-05 00:00:00-04:00,15.148306787330457,15.37488427624578,14.928203082069626,14.967045783996582,726500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-08 00:00:00-04:00,15.135353324881338,15.607929469609552,15.122406997362859,15.601455688476562,1016400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-09 00:00:00-04:00,15.43961210765659,15.446085887633688,14.92819460219137,15.05766773223877,808800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-10 00:00:00-04:00,15.109465465822971,15.161254500810234,14.229050636291504,14.229050636291504,1264800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-11 00:00:00-04:00,13.918313460500634,13.957154919777318,13.426317115587628,13.814735412597656,784300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-12 00:00:00-04:00,14.067204681409214,14.339097325859145,13.78236570893599,14.028363227844238,340400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-15 00:00:00-04:00,13.885945431118865,14.397361875315967,13.510474708313552,14.15136432647705,315600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-16 00:00:00-04:00,14.623934750620986,14.721038983431425,14.034834338857367,14.319674491882324,382500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-17 00:00:00-04:00,14.339092743601535,14.352040302234801,14.047780082835922,14.106042861938477,341000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-18 00:00:00-04:00,13.911834715398204,14.093096851940684,13.795309144388558,13.937729835510254,392400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-19 00:00:00-04:00,13.989518469406306,14.080148917896635,13.380996745156486,13.43925952911377,1462200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-22 00:00:00-04:00,13.439266940258488,13.562266355857702,13.21916324276429,13.478108406066895,660900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-23 00:00:00-04:00,13.57520947667705,13.821208249683217,13.393948522617396,13.788839340209961,661800,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-24 00:00:00-04:00,13.782365543950254,13.788838090510646,13.329210730375806,13.678786277770996,517200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-25 00:00:00-04:00,13.426319373406374,13.665844421178743,13.335688874937446,13.478108406066895,522900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-26 00:00:00-04:00,13.471631202649021,13.54931534929239,13.238581232214155,13.342159271240234,315000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-29 00:00:00-04:00,13.357813408628202,13.599141645053342,13.142575249240739,13.305634498596191,293900,0.154,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-06-30 00:00:00-04:00,13.338241136785975,13.664359489821887,13.194748265262787,13.638269424438477,537300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-02 00:00:00-04:00,13.873076145752426,14.153538150830709,13.573046590072325,14.042657852172852,397900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-03 00:00:00-04:00,14.003522719932123,14.0687466444174,13.78176212310791,13.78176212310791,144500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-06 00:00:00-04:00,14.062226816524404,14.062226816524404,13.605661745909483,13.762198448181152,643200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-07 00:00:00-04:00,13.651325656035693,13.670891977081753,13.357818399906707,13.403474807739258,263200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-08 00:00:00-04:00,13.403467632075749,13.494781642898909,13.201274543901512,13.370856285095215,310300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-09 00:00:00-04:00,13.305633480524783,13.325201036805844,12.907769788489222,13.162141799926758,470000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-10 00:00:00-04:00,13.090395603760282,13.403469046363163,13.090395603760282,13.33824634552002,259900,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-13 00:00:00-04:00,13.344762516460177,13.592613163425623,13.273017324164115,13.429553985595703,261200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-14 00:00:00-04:00,13.37085309587298,13.475210874171,13.109958650127929,13.194748878479004,383700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-15 00:00:00-04:00,13.331720552513014,13.638271400937636,13.292585448766319,13.533913612365723,545500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-16 00:00:00-04:00,13.501302276881091,13.566524961739777,13.338243076648435,13.44912338256836,404500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-17 00:00:00-04:00,13.520871988379522,13.527394507315922,13.357812747099373,13.396947860717773,206000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-20 00:00:00-04:00,13.370855472649174,13.436079406690222,13.227363812993321,13.246930122375488,303200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-21 00:00:00-04:00,13.331716915014141,13.462163493115787,13.142567697309206,13.220836639404297,377400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-22 00:00:00-04:00,13.207802181928626,13.442607952145762,13.155623260107442,13.344771385192871,425200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-23 00:00:00-04:00,13.383896465624401,13.383896465624401,13.096911988954055,13.123002052307129,505600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-24 00:00:00-04:00,13.109959475355717,13.273018669715757,12.999079173429173,13.233884811401367,336600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-27 00:00:00-04:00,13.246926238330655,13.3251951850398,12.992554338600666,13.083867073059082,639100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-28 00:00:00-04:00,13.051260773981735,13.442603170457435,13.051260773981735,13.259976387023926,561000,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-29 00:00:00-04:00,13.305632347090999,13.409990150280485,13.123006813530969,13.370856285095215,339600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-30 00:00:00-04:00,13.2880507782977,13.596923196628605,13.156616800110719,13.491775512695312,511300,0.154,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-07-31 00:00:00-04:00,13.472057084835912,13.491772741571157,13.26833364574106,13.327479362487793,488100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-04 00:00:00-04:00,13.34062347594763,13.524632533776806,13.28147775212608,13.432628631591797,420300,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-05 00:00:00-04:00,13.49177391507359,13.577205928105778,13.340623040541082,13.386626243591309,281100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-06 00:00:00-04:00,13.373491814529118,13.70207883083961,13.373491814529118,13.412921905517578,611600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-07 00:00:00-04:00,13.42606007774457,13.511492114770363,13.228907198250516,13.406344413757324,396500,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-10 00:00:00-04:00,13.458912812716429,13.702067556231157,13.38662458096256,13.60349178314209,389600,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-11 00:00:00-04:00,13.7349259064458,14.096372083709019,13.669208305719854,13.912363052368164,905400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-12 00:00:00-04:00,13.964948571355047,14.030666227088723,13.656077218904803,13.833513259887695,510400,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-13 00:00:00-04:00,13.951794402471695,13.984653832604856,13.66920957062197,13.7349271774292,476200,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-14 00:00:00-04:00,13.800643329320224,13.800643329320224,13.544346068596859,13.60349178314209,253700,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
2020-08-17 00:00:00-04:00,13.5772115568604,13.649501081020972,13.412918095375197,13.550925254821777,251100,0.0,0.0,smartcentres,yfinance,2026-07-14T18:50:27.103795
